   6.890    46.420 1991      3      19    2.7  10.00       5      19
   6.890    46.420 1991      3      19    3.0  10.00       5      19
   6.940    46.410 1991      3      19    3.0   2.00       5      19
   8.020    45.900 1991      3      19    2.3   5.00      22      43
   8.020    45.900 1991      3      19    2.5   5.00      22      43
   7.990    45.930 1991      3      19    1.9   9.00      22      43
   8.000    45.910 1991      3      19    1.6   6.00      22      43
   7.320    46.220 1991      3      22    0.0   9.00       7      46
   7.680    45.980 1991      3      24    0.0   2.00      13      56
   7.360    46.320 1991      3      26    0.3   2.00      20      35
   7.240    46.230 1991      3      29    0.0   1.00       1      40
   7.030    46.180 1991      3      29    0.0   3.00       4      15
   7.360    46.330 1991      3      31    0.0   1.00       9      39
   7.420    46.330 1991      4       4    0.5   2.00       6      51
   7.440    46.260 1991      4       4   -0.5   0.00      15      29
   7.440    46.240 1991      4       5    0.0   0.00      12      49
   7.430    46.360 1991      4       8    1.6   5.00       5      20
   7.390    46.340 1991      4      15    0.2   1.00       3      57
   7.380    46.340 1991      4      15    0.0   7.00      19      16
   7.780    46.110 1991      4      16    1.6   0.00      13      26
   8.020    45.940 1991      4      18    2.8   2.00       4      37
   7.750    46.080 1991      4      18    1.7   0.00       4      37
   7.780    46.120 1991      4      18    2.6   0.00       4      37
   7.770    46.000 1991      4      18    2.4  10.00       4      37
   7.770    46.000 1991      4      18    2.8  10.00       4      37
   7.780    46.120 1991      4      18    2.3   0.00       4      39
   7.780    46.120 1991      4      18    2.9   0.00       4      41
   7.380    46.330 1991      4      20    0.4   5.00      20      56
   7.890    45.980 1991      4      22    2.9   2.00      13      41
   7.460    46.400 1991      4      25    0.2   3.00      12      50
   6.430    47.230 1991      4      25    3.0   3.00      15      41
   6.430    47.230 1991      4      25    3.0   3.00      15      41
   6.430    47.230 1991      4      25    3.0   3.00      15      41
   6.440    47.230 1991      4      25    2.4  18.00      15      41
   6.490    47.270 1991      4      25    2.8   5.00      15      41
   7.240    45.910 1991      4      25    2.0   3.00      20      11
   7.180    45.800 1991      4      25    2.5  10.00      20      11
   7.510    46.310 1991      4      26    0.5   3.00       5      53
   8.290    47.120 1991      4      30    1.5   2.00      13       7
   7.590    46.110 1991      5       2    0.0   3.00       8      59
   6.730    46.840 1991      5       6    3.3  12.00      16      41
   6.730    46.840 1991      5       6    3.0  12.00      16      41
   6.750    46.830 1991      5       6    2.5  23.00      16      41
   6.730    47.030 1991      5       7    2.3   5.00      12      14
   6.620    47.040 1991      5       7    2.3  25.00      12      14
   7.440    46.240 1991      5       8    0.0   0.00       9       6
   7.390    46.160 1991      5      10    0.0   4.00      23       2
   6.980    46.720 1991      5      11    1.3   1.00       6       3
   7.740    46.190 1991      5      15    0.0   1.00       7      47
   7.750    46.180 1991      5      15    0.0   3.00       9       2
   7.410    45.810 1991      5      15    2.3  10.00      23      31
   7.600    45.800 1991      5      15    1.4  10.00      23      31
   7.670    46.120 1991      5      16    0.0   5.00       7      26
   7.450    46.350 1991      5      17    0.4   3.00       0      50
   7.460    46.220 1991      5      17    0.0   3.00       8      24
   7.440    46.230 1991      5      17    0.0   0.00       9      24
   7.170    45.790 1991      5      17    2.6  10.00      14       7
   7.150    45.830 1991      5      17    1.9   1.00      14       7
   7.010    45.870 1991      5      17    2.6   5.00      14       7
   7.010    45.850 1991      5      17    2.6   2.00      14       7
   7.580    46.150 1991      5      21    0.0   3.00       3      32
   7.410    46.330 1991      5      21    0.3   3.00      10      59
   7.830    46.110 1991      5      21    0.0   3.00      18      51
   7.840    46.110 1991      5      24    0.0   3.00      18      50
   7.580    46.200 1991      5      27    0.0   6.00       1      56
   7.470    46.300 1991      5      27    0.3   7.00      13       9
   7.610    46.320 1991      5      28    0.0   3.00      22      47
   7.460    46.370 1991      5      29    0.0   1.00       0       5
   7.140    45.790 1991      6       1    1.9   3.00       1      17
   7.000    45.820 1991      6       1    2.2   5.00       1      17
   7.760    46.220 1991      6       2    0.0   2.00      19      52
   7.750    46.240 1991      6       3    0.0   3.00      16      20
   7.600    47.550 1991      6       4    1.6   1.00      17      17
   7.600    47.600 1991      6       4    2.3   9.00      17      17
   7.350    46.330 1991      6       8    0.0   4.00       6      39
   7.770    46.090 1991      6      10    0.0   9.00      18      14
   7.770    46.090 1991      6      11    0.0  11.00      18      35
   7.610    46.320 1991      6      12    0.0   3.00       1       7
   6.820    46.410 1991      6      12    0.0   3.00      10      15
   6.970    46.810 1991      6      14    1.8   0.00       9      28
   8.270    47.520 1991      6      15    1.2  10.00       6      26
   7.270    46.300 1991      6      15    0.0   3.00      20      46
   7.270    46.300 1991      6      16    0.0   3.00       3      48
   7.740    46.180 1991      6      16    0.0   4.00       5       7
   7.400    46.730 1991      6      16    2.4   8.00      10      16
   7.320    46.760 1991      6      16    2.7  10.00      10      16
   7.320    46.760 1991      6      16    2.8  10.00      10      16
   7.310    46.750 1991      6      16    2.8   9.00      10      16
   6.610    47.040 1991      6      22    2.2   5.00       5      59
   6.700    47.000 1991      6      22    2.2   8.00       5      59
   7.400    46.320 1991      6      24    0.9   0.00      18      59
   7.410    46.350 1991      6      25   -0.4   2.00       8      45
   7.410    46.330 1991      6      26    0.4   2.00      19      54
   7.390    46.350 1991      6      29    0.3   6.00       9      32
   7.230    46.270 1991      6      30    0.5   5.00       3      14
   7.780    46.290 1991      7       2    2.0   7.00       8      13
   7.230    46.270 1991      7       5    1.4   5.00      15       2
   7.300    47.500 1991      7       6    2.0   2.00       5      39
   7.170    46.140 1991      7       9    0.0   8.00      16      32
   7.890    47.400 1991      7      10    0.9   9.00       4      46
   7.890    47.420 1991      7      10    1.0   7.00      20       2
   7.230    46.270 1991      7      13    0.0   5.00       0      35
   7.380    46.330 1991      7      16    0.8   4.00      23      52
   7.430    46.240 1991      7      19    0.0   0.00       5      23
   7.590    46.320 1991      7      22    0.4   5.00       8       8
   7.800    46.100 1991      7      24    0.0   3.00      17      23
   7.440    46.260 1991      7      25    0.1   0.00      13      43
   7.440    46.430 1991      7      25    0.6   0.00      16       4
   7.440    45.890 1991      7      25    0.0   3.00      21      44
   7.580    46.320 1991      7      27    0.0   4.00      16      16
   7.520    46.330 1991      7      28    0.8   3.00       3      52
   7.440    46.240 1991      7      29    0.0   0.00       7      17
   7.730    46.000 1991      7      30    0.0   6.00       4      41
   7.210    46.330 1991      8       2    0.0   7.00       0       8
   7.600    46.240 1991      8       3    0.0   5.00       8      47
   7.590    46.240 1991      8       3    0.0   4.00      19      39
   7.680    46.170 1991      8       4    0.0   3.00      17      49
   7.650    46.170 1991      8       5    0.0   5.00      18      38
   7.700    46.200 1991      8       5    0.0   3.00      18      54
   7.650    46.160 1991      8       5    0.0   4.00      18      56
   7.330    46.320 1991      8       5    0.2   1.00      23      29
   7.700    46.200 1991      8       6    0.0   3.00       0      22
   7.430    46.230 1991      8       7    0.3   0.00       7      25
   7.320    46.310 1991      8       7    1.6   3.00      17      58
   7.290    46.230 1991      8       7    2.7   5.00      17      58
   7.290    46.230 1991      8       7    2.6   5.00      17      58
   7.260    46.300 1991      8       7    2.6   2.00      17      58
   6.830    46.380 1991      8       8    0.0   3.00      16      59
   6.990    46.220 1991      8      12    0.0   3.00       7      43
   7.840    46.100 1991      8      12    0.0   3.00      17      32
   7.320    46.310 1991      8      13    0.0   2.00       9      28
   7.170    46.210 1991      8      14    0.6   7.00       9      14
   7.460    46.410 1991      8      16    0.3   4.00       0      53
   7.630    46.260 1991      8      20    0.0   3.00       3      14
   7.220    46.250 1991      8      20    0.0   5.00       4       0
   7.480    46.300 1991      8      21    0.0   5.00       1      43
   7.570    46.320 1991      8      21    0.0   4.00      11       1
   7.700    46.200 1991      8      23    0.0   3.00      13      18
   7.490    46.190 1991      8      24    0.0   3.00      11      52
   7.290    47.680 1991      8      25    2.6   2.00       0       6
   7.310    47.630 1991      8      25    2.7   5.00       0       6
   7.290    47.600 1991      8      25    3.1   2.00       0       6
   7.290    47.600 1991      8      25    3.0   2.00       0       6
   7.290    47.600 1991      8      25    3.0   2.00       0       6
   7.290    47.600 1991      8      25    3.0   2.00       0       6
   7.340    46.300 1991      8      25    0.0   2.00      18      26
   7.380    46.630 1991      8      27    0.0   0.00      13      54
   7.150    47.270 1991      8      29    2.2   5.00      21       5
   7.630    46.180 1991      8      31    0.0   2.00      23      17
